,img,title,score,genre,running_time,synop,year,key_words
31,https://images.justwatch.com/poster/149560454/s592,동궁,8,"['드라마', '판타지', '로맨스']",46분,"얽히고 설킨, 두 가문 남녀의 애절한 사랑 이야기",2019,['사랑']
32,https://images.justwatch.com/poster/251725387/s592,크라임 스토리: 인도의 형사들,7.5,"['다큐멘터리', '범죄']",47분,"수수께끼의 참혹한 살인 사건, 분초를 다투는 영아 납치 사건 등. 벵갈루루 경찰의 수사 과정을 네 건의 강력 범죄를 통해 살펴본다. 복잡하고 까다로운 내부 절차를 엿볼 드문 기회.",2021,"['사건', '살인', '경찰', '수사', '납치']"
33,https://images.justwatch.com/poster/19648506/s592,프리즈너스,8.1,"['스릴러', '드라마', '범죄']",2시간 33분,"한가로운 휴일, 가족과 행복한 시간을 보내던 도버(휴 잭맨)와 버치(테렌스 하워드)는 자신들의 딸이 실종됐다는 사실을 뒤늦게 알아차린다. 곧바로 형사 로키(제이크 질렌홀)와 함께 존스(폴 다노)를 용의자로 지목하지만 그에게서는 어떤 증거도 찾을 수 없다. 완벽한 용의자를 의심하는 아빠는 홀로 그를 쫓기 시작하고, 형사는 세상에 숨겨진 진범을 찾기 위해 추적을 시작한다. 유력한 용의자를 범인이라고 믿는 아빠. 진짜 범인은 따로 있다고 믿는 형사. 각각 다른 방식으로 추적을 시작한 두 사람은 마침내 세상을 충격에 빠트릴 진실과 마주치게 되는데...",2013,"['사람', '시간', '형사', '딸', '진실', '충격', '아빠', '추적', '범인', '용의자', '형', '홀로']"
34,https://images.justwatch.com/poster/178308115/s592,피키 블라인더스,8.8,"['드라마', '범죄', 'Made in Europe']",58분,"제1차 세계대전 직후인 1919년 영국 버밍엄. 토마스 셸비를 주축으로 한 셸비 가문은 악명 높은 범죄 조직 ""피키 블라인더스""를 이끌고 암흑가의 정상을 차지하기 위해 수단과 방법을 가리지 않는다.",2013,"['조직', '방법', '법', '영국']"
35,https://images.justwatch.com/poster/252037135/s592,코타 팩토리,9.2,"['드라마', '코미디']",39분,입시 학원의 메카인 도시 코타. 명문대 합격생을 생산(?)하기 위한 혹독한 공정이 이뤄지는 곳이다. 일류대에 진학할 꿈을 안고 순박한 입시생이 이곳에 입성한다. 전국의 수재들이 모인 각축장에서 치열한 경쟁을 뚫고 살아남을 수 있을까.,2019,"['도시', '경쟁', '산', '명문']"
36,https://images.justwatch.com/poster/17354983/s592,비포 선라이즈,8.1,"['드라마', '로맨스', 'Made in Europe']",1시간 45분,파리로 돌아가는 셀린과 비엔나로 향하는 제시. 기차 안에서 우연히 만난 그들은 짧은 시간에 서로에게 빠져든다. 그림 같은 도시와 꿈같은 대화 속에서 발견한  서로를 향한 강한 이끌림은 풋풋한 사랑으로 물들어 간다. 밤새도록 계속된 그들의 사랑 이야기 끝에 해가 떠오르기 시작하고 그들은 헤어져야만 하는데…,1995,"['사랑', '시간', '발견', '도시', '밤', '물', '파리']"
37,https://images.justwatch.com/poster/177088991/s592,나를 찾아줘,8.1,"['스릴러', '드라마']",2시간 29분,"모두가 부러워하는 삶을 살아가는 완벽한 커플인 닉과 에이미. 결혼 5주년 기념일 아침, 에이미가 흔적도 없이 실종된다. 유년시절 어린이 동화 시리즈 어메이징 에이미의 실제 여주인공이었던  유명인사 아내가 사라지자, 세상은 그녀의 실종사건으로 떠들썩해진다. 한편 경찰은 에이미가 결혼기념일 선물로 숨겨뒀던 편지와 함께  곳곳에서 드러나는 단서들로 남편 닉을 유력한 용의자로 지목한다. 미디어들이 살인 용의자 닉의 일거수일투족을 보도하기 시작하고, 시간이 갈수록 세상의 관심이 그에게 더욱 집중되는데...",2014,"['그녀', '사건', '시간', '시리즈', '살인', '경찰', '아내', '주인공', '남편', '결혼', '용의자', '편지', '단서', '물']"
38,https://images.justwatch.com/poster/171585771/s592,기생충,8.6,"['스릴러', '드라마', '코미디']",2시간 13분,"전원 백수로 살 길 막막하지만 사이는 좋은 기택 가족. 장남 기우에게 명문대생 친구가 연결시켜 준 고액 과외 자리는 모처럼 싹튼 고정수입의 희망이다. 온 가족의 도움과 기대 속에 박 사장 집으로 향하는 기우. 글로벌 IT기업의 CEO인 박 사장의 저택에 도착하자 젊고 아름다운 사모님 연교와 가정부 문광이 기우를 맞이한다. 큰 문제 없이 박 사장의 딸 다혜의 과외를 시작한 기우. 그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고  있는데.....",2019,"['사건', '친구', '딸', '희망', '정부', '만남', '저택', '명문']"
39,https://images.justwatch.com/poster/238628498/s592,아리스 인 보더랜드,7.7,"['SF', '액션', '판타지', '스릴러']",47분,"2020년 12월 Netflix에서 방영을 시작한 스릴러. 아소 하로의 동명의 만화를 원작으로 한다. 삶의 목적이라고는 없이 무의미한 세월을 보내며 비디오게임에 빠져 사는 젊은 남성. 그가 두 친구와 함께 이상한 세계에 들어간다. 이곳은 또 다른 도쿄, 치명적인 게임의 배경. 그들이 낯설고 이상한 도쿄에서 게임을 시작한다. 도쿄와 비슷하지만 도쿄는 아닌 그곳에서, 그들은 생존이 걸린 위험한 게임을 시작한다.  패배한 자에게는 죽음이 있을 뿐, 선택의 여지는 없고 게임은 계속된다. 승자만이 살아남는 이 곳에서 살고 싶다면 싸워야 한다.",2020,"['친구', '죽음', '게임', '원작', '생존', '도쿄', '배경']"
40,https://images.justwatch.com/poster/175781586/s592,릭 앤 모티,9.2,"['SF', '액션', '코미디', '애니메이션']",22분,술에 절어 사는 천재 과학자 릭은 투정이 심한 10대 손자 모티를 데리고 외계와 대체 현실로 아슬아슬한 모험을 떠난다.,2013,"['현실', '모험', '천재']"
41,https://images.justwatch.com/poster/177725643/s592,러브 101,7.5,"['로맨스', '코미디', '드라마']",43분,"90년대 이스탄불, 남들과는 너무 다른 문제아 넷. 학교 전체가 등을 돌린 가운데, 이들의 편을 들어주는 사람은 여선생님 한 명뿐이다. 그런데 이분마저 학교를 떠난다니, 절대 안 돼. 선생님이 여기 머물도록 남자랑 엮어줘야겠어!",2020,"['사람', '남자', '학교', '물', '불']"
42,https://images.justwatch.com/poster/249335581/s592,종이의 집,8.3,"['스릴러', '액션', '범죄', '드라마', 'Made in Europe']",50분,특이한 강도 무리가 스페인 역사상 가장 완벽한 강도를 시도하여 스페인 왕립 조폐국에서 24억 유로를 훔칩니다.,2017,['돈']
43,https://images.justwatch.com/poster/10929406/s592,오자크,8.4,"['드라마', '범죄', '스릴러']",1시간 1분,"시카고의 잘나가는 재무 컨설턴트 마티는 가족과 함께 미주리 주 오자크로 이사한다. 목적은 하나, 파트너가 횡령한 마약 조직의 돈 5억 달러를 돈세탁하는 것.",2017,"['돈', '조직', '마약', '이사']"
44,https://images.justwatch.com/poster/248566821/s592,브루클린 나인-나인,8.4,"['코미디', '범죄']",22분,"경찰의 명예를 중시하는 원칙주의자 홀트 서장. 그 아래 재능은 물론 꼼수, 공갈, 운까지 총동원해서 어떻게든 사건을 해결해내는 듬직한(?) 형사들이 있는 곳. 브루클린 99 관할 경찰서에 오신 것을 환영합니다!",2013,"['사건', '경찰', '형사', '해결', '재능', '형', '물']"
45,https://images.justwatch.com/poster/52224282/s592,나의 아저씨,9.1,"['드라마', '가족']",1시간 19분,"2018년 3월 tvN에서 방영을 시작한 드라마. 여기 아저씨가 있다. 우러러 볼만한 경력도, 부러워할 만한 능력도 없다. 그저 순리대로 살아갈 뿐이다. 그러나 그속엔 아홉살 소년의 순수성이 있고, 타성에 물들지 않은 날카로움도 있다. 인간에 대한 본능적인 따뜻함과 우직함도 있다. 우리가 잊고 있었던 인간의 매력을 보여주는 아저씨. 그를 보면, 맑은 물에 눈과 귀를 씻은 느낌이 든다. 길거리에 넘쳐나는 흔하디 흔한 아저씨들. 허릅하고 한심하게 보이던 그들이, 사랑스러워 죽을 것이다. 눈물 나게 낄낄대며 보다가, 끝내 펑펑 울 것이다.",2018,"['사랑', '소년', '인간', '우리', '능력', '매력', '거리', '물']"
46,https://images.justwatch.com/poster/127937296/s592,라이언 일병 구하기,8.6,"['드라마', '전쟁']",2시간 49분,1944년 6월 6일 노르망디 상륙 작전. 오마하 해변에 대기하고 있던 병사들은 한치 앞도 내다볼 수 없는 긴장된 상황에 두려움을 감출 수 없다. 노르망디 해변을 응시하는 밀러 대위와 가장 어려운 임무를 수행해야할 두려움에 지친 그의 대원들. 몇 번의 죽을 고비를 넘기고 맡은 바 임무를 완수하지만 3형제가 전사하고 적진에서 실종된 유일한 생존자인 막내 라이언 일병을 위한 미 행정부의 특별한 임무를 맡게 된다.단 한명의 목숨을 구하기 위해 여덟 명이 위험을 감수해야할 상황에서 대원들은 과연 라이언 일병 한 명의 생명이 그들 여덟 명의 생명보다 더 가치가 있는 것인지 끊임없는 혼란에 빠지는데...,1998,"['임무', '목숨', '정부', '작전', '생존', '형제', '혼란', '대원', '형', '병']"
47,https://images.justwatch.com/poster/137485374/s592,슈츠,8.4,"['드라마', '코미디']",44분,"뜻밖의 행운일까, 아니면 뛰어난 재능일까. 뉴욕의 거대 로펌에 들어간 대학 중퇴 청년. 엘리트 변호사와 의기투합한 그가 시시하고 따분한 세상을 상대로 소송을 건다.",2018,"['변호사', '청년', '뉴욕', '대학', '재능', '엘리트']"
48,https://images.justwatch.com/poster/22081189/s592,잭 화이트홀: 아버지와 발칙한 세상 산책,7.6,"['Reality TV', '다큐멘터리', '코미디', 'Made in Europe']",40분,"어디로 튈지 모르는 코미디언 잭과 깐깐한 노신사 마이클. 정반대의 부자가 해외로 떠난다. 아름다운 추억도 쌓고, 정도 쌓나? 부자지간 여행이 그렇게 평탄할 리 없잖아!",2017,['여행']
